"","ID","description","temp","sunset","sunrise","epochTime","code","city","date"
"3073","a245492a-c103-11e8-9e4a-8e9a168fb4dc","Partly Cloudy",15,"7:23 pm","7:22 am",1537908198.63,"30","Lethbridge",2018-09-25 14:43:18
"3074","4ddfc4a2-bf71-11e8-90aa-124b4fe66148","Cloudy",11,"7:19 pm","7:10 am",1537735399.35,"26","Medicine Hat",2018-09-23 14:43:19
"3075","5cc52d44-c805-11e8-9d4d-1e599fe16f44","Cloudy",2,"6:55 pm","7:27 am",1538678599.16,"26","Medicine Hat",2018-10-04 12:43:19
"3076","2dc0c976-ac7c-11e8-b975-3a21f02c5ba9","Mostly Sunny",16,"8:27 pm","6:46 am",1535650997.83,"34","Calgary",2018-08-30 11:43:17
"3077","23d31e5c-ab1c-11e8-903f-36b368f482c1","Mostly Cloudy",18,"8:31 pm","6:43 am",1535499798.33,"28","Calgary",2018-08-28 17:43:18
"3078","8b316930-c7b1-11e8-91cb-bed55c82e76a","Cloudy",-6,"6:55 pm","7:27 am",1538642599.32,"26","Medicine Hat",2018-10-04 02:43:19
"3079","16201f38-b32a-11e8-8f0e-fe6cca7c3925","Mostly Clear",13,"8:9 pm","6:59 am",1536385397.6,"33","Calgary",2018-09-07 23:43:17
"3080","74158d0e-abfe-11e8-aedd-7a2372363a2c","Cloudy",15,"8:31 pm","6:38 am",1535596999.24,"26","Edmonton",2018-08-29 20:43:19
"3081","e428fcc4-ae16-11e8-b15c-52d2c961a9b6","Partly Cloudy",14,"8:22 pm","6:49 am",1535827397.52,"30","Calgary",2018-09-01 12:43:17
"3082","72bd3ffc-bf8a-11e8-b297-aa7de8738351","Mostly Cloudy",8,"7:31 pm","7:21 am",1537746198.62,"28","Edmonton",2018-09-23 17:43:18
"3083","1f0f8a82-bfc5-11e8-b902-ceefc08da6a7","Cloudy",5,"7:28 pm","7:23 am",1537771398.54,"26","Edmonton",2018-09-24 00:43:18
"3084","de4c2a22-bf25-11e8-b2a6-22eccefa44fe","Mostly Cloudy",3,"7:19 pm","7:10 am",1537702999.9,"27","Medicine Hat",2018-09-23 05:43:19
